filename,structure,set,new_x,new_y
field0705.jpg,KINETOPLAST,train,251,386
field0705.jpg,NUCLEUS,train,253,371
field0705.jpg,KINETOPLAST,train,401,507
field0705.jpg,KINETOPLAST,train,533,563
field0705.jpg,NUCLEUS,train,404,492
field0705.jpg,NUCLEUS,train,521,580
field0706.jpg,KINETOPLAST,train,379,329
field0706.jpg,NUCLEUS,train,391,320
field0706.jpg,KINETOPLAST,train,400,521
field0706.jpg,KINETOPLAST,train,453,654
field0706.jpg,NUCLEUS,train,412,513
field0706.jpg,NUCLEUS,train,433,658
field0707.jpg,KINETOPLAST,train,509,379
field0707.jpg,NUCLEUS,train,524,381
field0707.jpg,KINETOPLAST,train,388,529
field0707.jpg,KINETOPLAST,train,332,661
field0707.jpg,NUCLEUS,train,403,532
field0707.jpg,NUCLEUS,train,315,649
field0708.jpg,KINETOPLAST,train,567,507
field0708.jpg,NUCLEUS,train,576,519
field0708.jpg,KINETOPLAST,train,375,528
field0708.jpg,KINETOPLAST,train,242,581
field0708.jpg,NUCLEUS,train,383,540
field0708.jpg,NUCLEUS,train,238,561
field0709.jpg,KINETOPLAST,train,516,637
field0709.jpg,NUCLEUS,train,514,652
field0709.jpg,KINETOPLAST,train,366,516
field0709.jpg,KINETOPLAST,train,234,460
field0709.jpg,NUCLEUS,train,363,531
field0709.jpg,NUCLEUS,train,246,443
field0710.jpg,KINETOPLAST,train,389,695
field0710.jpg,NUCLEUS,train,377,704
field0710.jpg,KINETOPLAST,train,368,503
field0710.jpg,KINETOPLAST,train,315,370
field0710.jpg,NUCLEUS,train,356,511
field0710.jpg,NUCLEUS,train,335,366
field0711.jpg,KINETOPLAST,train,258,644
field0711.jpg,NUCLEUS,train,243,642
field0711.jpg,KINETOPLAST,train,379,494
field0711.jpg,KINETOPLAST,train,435,362
field0711.jpg,NUCLEUS,train,364,491
field0711.jpg,NUCLEUS,train,452,374
field0712.jpg,NUCLEUS,train,635,416
field0712.jpg,KINETOPLAST,train,520,473
field0712.jpg,KINETOPLAST,train,420,456
field0712.jpg,KINETOPLAST,train,454,668
field0712.jpg,NUCLEUS,train,468,655
field0712.jpg,KINETOPLAST,train,523,685
field0712.jpg,NUCLEUS,train,515,697
field0712.jpg,NUCLEUS,train,457,753
field0712.jpg,KINETOPLAST,train,448,737
field0712.jpg,KINETOPLAST,train,147,642
field0712.jpg,NUCLEUS,train,137,654
field0712.jpg,NUCLEUS,train,268,720
field0712.jpg,KINETOPLAST,train,277,719
field0713.jpg,NUCLEUS,train,629,622
field0713.jpg,KINETOPLAST,train,508,581
field0713.jpg,KINETOPLAST,train,449,498
field0713.jpg,KINETOPLAST,train,323,672
field0713.jpg,NUCLEUS,train,342,673
field0713.jpg,KINETOPLAST,train,360,733
field0713.jpg,NUCLEUS,train,346,736
field0713.jpg,NUCLEUS,train,265,735
field0713.jpg,KINETOPLAST,train,270,717
field0713.jpg,KINETOPLAST,train,124,437
field0713.jpg,NUCLEUS,train,109,438
field0713.jpg,NUCLEUS,train,155,578
field0713.jpg,KINETOPLAST,train,162,584
field0714.jpg,NUCLEUS,train,479,763
field0714.jpg,KINETOPLAST,train,422,648
field0714.jpg,KINETOPLAST,train,439,548
field0714.jpg,KINETOPLAST,train,227,582
field0714.jpg,NUCLEUS,train,240,596
field0714.jpg,KINETOPLAST,train,210,651
field0714.jpg,NUCLEUS,train,198,643
field0714.jpg,NUCLEUS,train,142,585
field0714.jpg,KINETOPLAST,train,158,576
field0714.jpg,KINETOPLAST,train,253,275
field0714.jpg,NUCLEUS,train,241,265
field0714.jpg,NUCLEUS,train,175,396
field0714.jpg,KINETOPLAST,train,176,405
field0715.jpg,NUCLEUS,train,274,757
field0715.jpg,KINETOPLAST,train,315,636
field0715.jpg,KINETOPLAST,train,398,577
field0715.jpg,KINETOPLAST,train,224,451
field0715.jpg,NUCLEUS,train,223,470
field0715.jpg,KINETOPLAST,train,163,488
field0715.jpg,NUCLEUS,train,160,474
field0715.jpg,NUCLEUS,train,160,393
field0715.jpg,KINETOPLAST,train,179,398
field0715.jpg,KINETOPLAST,train,458,252
field0715.jpg,NUCLEUS,train,457,237
field0715.jpg,NUCLEUS,train,318,283
field0715.jpg,KINETOPLAST,train,312,290
field0716.jpg,NUCLEUS,train,132,607
field0716.jpg,KINETOPLAST,train,247,550
field0716.jpg,KINETOPLAST,train,347,567
field0716.jpg,KINETOPLAST,train,313,355
field0716.jpg,NUCLEUS,train,299,368
field0716.jpg,KINETOPLAST,train,244,338
field0716.jpg,NUCLEUS,train,252,326
field0716.jpg,NUCLEUS,train,310,270
field0716.jpg,KINETOPLAST,train,319,286
field0716.jpg,KINETOPLAST,train,620,381
field0716.jpg,NUCLEUS,train,630,369
field0716.jpg,NUCLEUS,train,499,303
field0716.jpg,KINETOPLAST,train,490,304
field0717.jpg,NUCLEUS,train,139,402
field0717.jpg,KINETOPLAST,train,260,443
field0717.jpg,KINETOPLAST,train,319,526
field0717.jpg,KINETOPLAST,train,444,352
field0717.jpg,NUCLEUS,train,425,351
field0717.jpg,KINETOPLAST,train,407,291
